Town/City,Clerk,Address,Phone (Area Code 603),Fax,E-Mail,Town Website Address,Polling Hours,Polling Place
EASTON,CLAIRE CATHERINE MEI,1060 EASTON VALLEY ROAD EASTON 03580,823-8017,823-7780,TOWNCLERK@EASTONNH.GOV,HTTPS://WWW.EASTONNH.GOV/,3:00 PM - 6:00 PM,EASTON TOWN HALL 1060 EASTON VALLEY RD EASTON 03580
EATON,ROBIN WILLIS NUCCIO,PO BOX 117 EATON 03832,447-2840,447-2560,EATONNHTC@GMAIL.COM,EATONNH.ORG,11:00 AM - 6:00 PM,EVANS MEMORIAL BLDG - EATON TOWN HALL 83 BROWNFIELD RD EATON 03849
EFFINGHAM,ANDREA HOOD,68 SCHOOL STREET EFFINGHAM 03882,539-7551,Not Applicable,TOWNCLERK@EFFINGHAM.NH.GOV,HTTPS://WWW.EFFINGHAMNH.NET/,11:00 AM - 7:00 PM,EFFINGHAM ELEMENTARY SCHOOL 6 PARTRIDGE COVE RD EFFINGHAM 03882
ELLSWORTH,DONNA MARIE O'BRIEN,3 ELLSWORTH POND RD ELLSWORTH 03223,726-3551,Not Applicable,DOBELLSWORTH@GMAIL.COM,NONE AVAILABLE,Not Applicable,ELLSWORTH TOWN HALL 3 ELLSWORTH POND RD ELLSWORTH 03223
ENFIELD,WENDY H HUNTLEY,PO BOX 373 ENFIELD 03748,632-5001,632-5182,WHUNTLEY@ENFIELDNH.GOV,WWW.ENFIELDNH.GOV,8:00 AM - 7:00 PM,COMMUNITY BUILDING 308 US ROUTE 4 ENFIELD 03748
EPPING,ERIKA LEIGH PETHIC-ROBINSON,157 MAIN ST EPPING 03042,679-1492,679-3002,CLERKANDTAX@EPPINGNH.GOV,EPPINGNH.GOV,7:00 AM - 7:00 PM,EPPING HIGH SCHOOL 33 PRESCOTT RD EPPING 03042
EPSOM,MARGOT M KEYES,1598 DOVER ROAD EPSOM 03234,736-4825,Not Applicable,TOWNCLERK@EPSOMNH.GOV,WWW.EPSOMNH.ORG,7:30AM - 7:00PM,EPSOM BIBLE CHURCH 398 BLACK HALL RD EPSOM 03234
ERROL,DONNA M DEMERS,PO BOX 100 ERROL 03579,482-3351,482-3804,ERROLTOWNCLERK@GMAIL.COM,WWW.ERROLNH.ORG,11:00 AM - 7:00 PM,ERROL TOWN HALL 33 MAIN ST ERROL 03579
ERVING'S LOCATION,MARCIA LYNN PARKHURST,1679 US Rte 3 ERVING'S LOCATION 03576,237-5255,237-8270,towncolumbia@myfairpoint.net,COLUMBIANH.ORG,Not Applicable,COLUMBIA TOWN HALL 1919 US ROUTE 3 ERVING'S LOCATION 03576
EXETER,JENNIFER L SHUPE,10 FRONT STREET EXETER 03833,773-6105,418-6424,JLSHUPE@EXETERNH.GOV,WWW.EXETERNH.GOV,7:00 AM - 8:00 PM,TALBOT GYM 30 LINDEN ST EXETER 03833
FARMINGTON WARD 01,SAMUEL S JEROME,356 MAIN STREET FARMINGTON 03835,755-3657,755-9934,TCTC@FARMINGTON.NH.US,WWW.FARMINGTON.NH.US,8:00 AM - 7:00 PM,FARMINGTON TOWN HALL GYMNASIUM 531 MAIN ST FARMINGTON 03835
FITZWILLIAM,HEIDI L WOOD,PO BOX 725 FITZWILLIAM 03447,585-7214,585-7744,FITZCLERK@FITZWILLIAM-NH.GOV,WWW.FITZWILLIAM-NH.GOV,11:00 AM - 7:00 PM,FITZWILLIAM TOWN HALL 13 TEMPLETON TPKE FITZWILLIAM 03447
FRANCESTOWN,PAMELA A FINNELL,27 MAIN STREET FRANCESTOWN 03043,547-6251,547-2622,CLERKANDTAX@FRANCESTOWNNH.ORG,WWW.FRANCESTOWNNH.ORG,10:00 AM - 7:00 PM,TOWN HALL 2 NEW BOSTON RD FRANCESTOWN 03043
FRANCONIA,CAROL FRANCES WILLS,PO BOX 900 FRANCONIA 03580,823-5237,823-5581,TOWNCLERK@FRANCONIANH.GOV,WWW.FRANCONIANH.ORG,1:00 - 8:00,FRANCONIA TOWN HALL 421 MAIN ST FRANCONIA 03580
FRANCONIA,CAROL FRANCES WILLS,PO BOX 900 FRANCONIA 03580,823-5237,823-5581,TOWNCLERK@FRANCONIANH.GOV,WWW.FRANCONIANH.ORG,1:00PM - 7:00PM,LAFAYETTE REGIONAL SCHOOL 149 MAIN ST FRANCONIA 03580
FRANKLIN WARD 01,MICHELLE STANYAN,316 CENTRAL STREET FRANKLIN 03235,934-3109,934-7413,MSTANYAN@FRANKLINNH.GOV,WWW.FRANKLINNH.GOV,8:00 AM - 7:00 PM,FRANKLIN ELKS 125 SOUTH MAIN ST FRANKLIN 03235
FRANKLIN WARD 02,MICHELLE STANYAN,316 CENTRAL STREET FRANKLIN 03235,934-3109,934-7413,MSTANYAN@FRANKLINNH.GOV,WWW.FRANKLINNH.GOV,8:00 AM - 7:00 PM,FRANKLIN HIGH SCHOOL 115 CENTRAL ST FRANKLIN 03235
FRANKLIN WARD 03,MICHELLE STANYAN,316 CENTRAL STREET FRANKLIN 03235,934-3109,934-7413,MSTANYAN@FRANKLINNH.GOV,WWW.FRANKLINNH.GOV,8:00 AM - 7:00 PM,FRANKLIN MIDDLE SCHOOL 200 SANBORN ST FRANKLIN 03235
FREEDOM,A ELIZABETH PRIEBE,PO BOX 457 FREEDOM 03836,539-8269,539-8270,FREEDOMTOWNCLERK@TOWNOFFREEDOMNH.GOV,WWW.TOWNOFFREEDOMNH.GOV,9:00 AM - 7:00 PM,FREEDOM TOWN HALL 16 ELM ST FREEDOM 03836
FREMONT,DEBORAH A CAPUTO,PO BOX 120 FREMONT 03044,895-8693,895-3149,CLERKCOLLECTOR@FREMONT.NH.GOV,WWW.FREMONT.NH.GOV,7:00 AM - 8:00 PM,ELLIS SCHOOL 432 MAIN ST FREMONT 03044
GILFORD,DANIELLE LAFOND,47 CHERRY VALLEY RD GILFORD 03249,527-4713,527-4719,DLAFOND@GILFORDNH.GOV,HTTP://WWW.GILFORDNH.GOV,7:00 AM - 7:00PM,GILFORD COMMUNITY CHURCH 19 POTTER HILL RD GILFORD 03249
GILMANTON,ELISE N SMITH,PO BOX 550 GILMANTON 03237,267-6726,267-6701,TCTX@GILMANTONNH.GOV,WWW.GILMANTONNH.GOV,7:00 AM - 7:00 PM,GILMANTON ACADEMY BUILDING 503 PROVINCE RD GILMANTON 03237
GILSUM,DEBRA REILLY,650 NH Route 10 GILSUM 03448,357-0320,Not Applicable,TOWNCLERK@GILSUM-NH.GOV,HTTPS://GILSUM-NH.GOV/,1:00 PM - 6:00 PM,GILSUM COMMUNITY CENTER 640 ROUTE 10 GILSUM 03448
GOFFSTOWN WARD 01,JENNIFER E SULLIVAN,16 MAIN STREET GOFFSTOWN 03045,497-8990,497-5710,JSULLIVAN@GOFFSTOWNNH.GOV,WWW.GOFFSTOWNNH.GOV,7:00 AM - 7:00 PM,GOFFSTOWN HIGH SCHOOL 27 WALLACE RD GOFFSTOWN 03045
GOFFSTOWN WARD 05,JENNIFER E SULLIVAN,16 MAIN STREET GOFFSTOWN 03045,497-8990,497-5710,JSULLIVAN@GOFFSTOWNNH.GOV,WWW.GOFFSTOWNNH.GOV,7:00 - 7:00 PM,BARTLETT ELEMENTARY SCHOOL 689 MAST RD GOFFSTOWN 03102
GORHAM,SUSAN VALLIERE,20 PARK STREET GORHAM 03581,466-9434,Not Applicable,SVALLIERE@GORHAMNH.GOV,WWW.GORHAMNH.GOV,10:00 AM - 6:00 PM,GORHAM TOWN HALL 20 PARK ST GORHAM 03581
GOSHEN,CINDY L WILLIAMS,PO BOX 58 GOSHEN 03752,863-5655,863-6139,TOWNOFGOSHEN@GOSHENNH.ORG,WWW.GOSHENNH.ORG,8:00 AM - 7:00 PM,GOSHEN TOWN HALL 54 MILL VILLAGE RD N GOSHEN 03752
GRAFTON,BONNIE J HAUBRICH,PO BOX 277 GRAFTON 03240,523-7270,523-4986,GRAFTONTC2008@HOTMAIL.COM,WWW.TOWNOFGRAFTONNH.COM,8:00 AM - 7:00 PM,GRAFTON FIRE AND AMBULANCE STATION 5 LIBRARY RD GRAFTON 03240
GRANTHAM,KENNETH BYRD STORY,PO BOX 135 GRANTHAM 03753,863-5608,863-4499,kstory@granthamnh.gov,WWW.GRANTHAMNH.GOV,10:00 AM - 7:00 PM,GRANTHAM TOWN HALL 300 ROUTE 10 S GRANTHAM 03753
GREENFIELD,DORENE E ADAMS,PO BOX 256 GREENFIELD 03047,547-2782,Not Applicable,TOWNCLERK@GREENFIELD-NH.GOV,WWW.GREENFIELD-NH.GOV,10:00 AM - 7:00 PM,GREENFIELD MEETING HOUSE 776 FOREST RD GREENFIELD 03047
GREENLAND,AMY KATHERINE BAUER,11 TOWN SQUARE GREENLAND 03840,431-7111,430-3761,ABAUER@GREENLAND.NH.GOV,WWW.GREENLAND.NH.GOV,8:00 AM - 7:00 PM,GREENLAND CENTRAL SCHOOL 70 POST RD GREENLAND 03840
GREEN'S GRANT,KAREN WILLHOITE,20 PARK STREET GREEN'S GRANT 03581,466-2744,466-2744,KWILLHOITE@GORHAMNH.GOV,WWW.GORHAMNH.GOV,Not Applicable,GORHAM TOWN HALL 20 PARK ST GREEN'S GRANT 03581
GREENVILLE,MELISSA DESROSIERS,46 MAIN ST GREENVILLE 03048,878-4155,878-4951,CLERK-COLLECTOR@COMCAST.NET,WWW.GREENVILLENH.ORG,8:00 AM - 7:00 PM,GREENVILLE ELEMENTARY SCHOOL 16 ADAMS ST GREENVILLE 03048
GROTON,RUTH ELAINE MILLETT,754 NORTH GROTON ROAD GROTON 03241,744-8849,744-8803,TOWNCLERK@GROTONNH.ORG,GROTONNH.ORG,11:00 AM - 7:00 PM,GROTON TOWN HOUSE 754 N GROTON RD GROTON 03241
HADLEY'S PURCHASE,CHRISTINA ZORNIO,20 PARK ST HADLEY'S PURCHASE,466-2744,466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,Not Applicable,GORHAM TOWN HALL 20 PARK ST GORHAM - FOR POLLING LOCATION ONLY HADLEY'S PURCHASE 03581
HAMPSTEAD,PATRICIA CURRAN,PO BOX 298 HAMPSTEAD 03841,329-4100,Not Applicable,TOWNCLERK@HAMPSTEADNH.US,WWW.HAMPSTEADNH.US,8:00 AM - 8:00 PM,HAMPSTEAD MIDDLE SCHOOL 28 SCHOOL ST HAMPSTEAD 03841
HAMPTON,CHERYL ANN HILDRETH,100 WINNACUNNET ROAD HAMPTON 03842,926-0406,929-5917,TOWNCLERK@HAMPTONNH.GOV,HAMPTONNH.GOV,7:00 AM - 8:00 PM,WINNACUNNET HIGH SCHOOL CAFETERIA 1 ALUMNI DR HAMPTON 03842
HAMPTON FALLS,STEPHANIE E GRANT,1 DRINKWATER ROAD HAMPTON FALLS 03844,926-4618,926-1848,TOWNCLERKCOLLECT@HAMPTONFALLS.ORG,WWW.HAMPTONFALLS.ORG,8:00 AM - 8:00 PM,LINCOLN AKERMAN SCHOOL 8 EXETER RD HAMPTON FALLS 03844
HANCOCK,JOAN JOSEPH,PO BOX 6 HANCOCK 03449,525-4441,525-4427,CLERK@HANCOCKNH.GOV,WWW.HANCOCKNH.ORG,08:00 AM - 07:00 PM,MEEETINGHOUSE 41 MAIN ST HANCOCK 03449
HANOVER,TRACY WALSH,PO BOX 483 HANOVER 03755,640-3200,643-1720,TOWNCLERK@HANOVERNH.ORG,WWW.HANOVERNH.ORG,07:00 AM - 07:00 PM,HANOVER HIGH SCHOOL 41 LEBANON ST HANOVER 03755
HARRISVILLE,CATHERINE LOVAS,PO BOX 284 HARRISVILLE 03450,827-5546,827-2917,TOWNCLERK@HARRISVILLENH.ORG,WWW.HARRISVILLENH.ORG,11:00 AM - 7:00 PM,TOWN OFFICES 705 CHESHAM RD HARRISVILLE 03450
HARRISVILLE,CATHERINE LOVAS,PO BOX 284 HARRISVILLE 03450,827-5546,827-2917,TOWNCLERK@HARRISVILLENH.ORG,WWW.HARRISVILLENH.ORG,11:00 AM - 7:00 PM,WELLS MEMORIAL SCHOOL 235 CHESHAM RD HARRISVILLE 03450
HART'S LOCATION,KATHLEEN LANDRY,PO BOX 540 HART'S LOCATION 03812,374-6397,Not Applicable,HARTSLOCATIONTC@GMAIL.COM,HARTSLOCATION.COM,11:00AM - 7:00PM,NOTCHLAND INN 2 MOREY RD HART'S LOCATION 03812
HAVERHILL,LINDSAY M JOHNK,2975 DARTMOUTH COLLEGE HWY HAVERHILL 03774,787-6200,787-2226,TOWNCLERK@HAVERHILL-NH.COM,WWW.HAVERHILL-NH.COM,8:00 AM - 6:00 PM,TOWN MUNICIPAL BUILDING 2975 DARTMOUTH COLLEGE HWY HAVERHILL 03774
HEBRON,TRACEY STEENBERGEN,PO BOX 55 HEBRON 03241,744-7999,744-5330,CLERK@HEBRONNH.GOV,HEBRONNH.GOV,11:00 AM - 7:00 PM,COMMUNITY HALL - BASEMENT OF UNION CONGREGATIONAL CHURCH 16 CHURCH LN HEBRON 03241
HEBRON,TRACEY STEENBERGEN,PO BOX 55 HEBRON 03241,744-7999,744-5330,CLERK@HEBRONNH.GOV,HEBRONNH.GOV,11:00 AM - 7:00 PM,PUBLIC SAFETY BUILDING 37 GROTON RD HEBRON 03241
HENNIKER,DEBORAH C AUCOIN,18 DEPOT HILL ROAD HENNIKER 03242,428-3240,428-4366,DEB.AUCOIN@HENNIKERNH.GOV,WWW.HENNIKER.ORG,7:00 AM - 7:00 PM,HENNIKER COMMUNITY SCHOOL 51 WESTERN AVE HENNIKER 03242
HILL,SHELLY J HENRY,30 CRESCENT STREET HILL 03243,934-3951,934-2011,HILLTWNCLK@COMCAST.NET,WWW.TOWNOFHILLNH.ORG,11:00AM - 7:00PM,HILL PUBLIC LIBRARY 30 CRESCENT ST HILL 03243
HILLSBOROUGH,DEBORAH J MCDONALD,PO BOX 1699 HILLSBOROUGH 03244,464-3877,464-4270,DEBBIE@HILLSBOROUGHNH.NET,WWW.TOWN.HILLSBOROUGH.NH.US,7:00 AM - 7:00 PM,HILLSBORO-DEERING MIDDLE SCHOOL AUDITORIUM 6 HILLCAT DR HILLSBOROUGH 03244
HINSDALE,JULIE M SEYMOUR,PO BOX 31 HINSDALE 03451,336-5719,336-5711,JSEYMOUR@HINSDALENH.ORG,WWW.TOWN.HINSDALE.NH.US,10:00 AM - 7:00 PM,MILLSTREAM COMMUNITY CENTER 19 MAIN ST HINSDALE 03451
HOLDERNESS,JAMI W WHITE-LYFORD,PO BOX 203 HOLDERNESS 03245,968-7536,968-9954,TCTC@HOLDERNESS-NH.GOV,WWW.HOLDERNESS-NH.GOV,10:00 AM - 7:00 PM,HOLDERNESS TOWN HALL 1089 US RT 3 HOLDERNESS 03245
HOLLIS,DIANE T LEAVITT,3 MARKETPLACE HOLLIS 03049,465-2064,Not Applicable,TOWNCLERK@HOLLISNH.ORG,WWW.HOLLISNH.ORG,07:00 AM - 07:00 PM,HOLLIS/BROOKLINE CO-OPERATIVE HIGH SCHOOL 24 CAVALIER CT HOLLIS 03049
HOLLIS,DIANE T LEAVITT,3 MARKETPLACE HOLLIS 03049,465-2064,Not Applicable,TOWNCLERK@HOLLISNH.ORG,WWW.HOLLISNH.ORG,7:00 AM - 7:00 PM,LAWRENCE BARN 28 DEPOT RD HOLLIS 03049
HOOKSETT,KARINA TOWNE,35 MAIN STREET HOOKSETT 03106,419-4004,419-4000,KTOWNE@HOOKSETT.GOV,WWW.HOOKSETT.GOV,6:00 AM - 7:00 AM,CAWLEY MIDDLE SCHOOL 89 WHITEHALL RD HOOKSETT 03106
HOPKINTON,EMILY A CERIELLO,330 MAIN ST HOPKINTON 03229,746-3180,Not Applicable,TCTC@HOPKINTON-NH.GOV,WWW.HOPKINTON-NH.GOV,7:00 AM - 7:00 PM,HOPKINTON HIGH SCHOOL 297 PARK AVE HOPKINTON 03229
HUDSON WARD 01,EMILIE LECLERC,12 SCHOOL STREET HUDSON 03051,816-1279,816-1292,ELECLERC@HUDSONNH.GOV,WWW.HUDSONNH.GOV,7:00 AM - 8:00 PM,HUDSON MEMORIAL SCHOOL 1 MEMORIAL DR HUDSON 03051
HUDSON WARD 02,EMILIE LECLERC,12 SCHOOL STREET HUDSON 03051,816-1279,816-1292,ELECLERC@HUDSONNH.GOV,WWW.HUDSONNH.GOV,7:00 AM - 8:00 PM,ALVIRNE HIGH SCHOOL 200 DERRY RD HUDSON 03051
JACKSON,KAREN ELIZABETH BURTON,PO BOX 336 JACKSON 03846,383-4223,383-6980,JXNTCTC@JACKSON-NH.GOV,WWW.JACKSON-NH.GOV,8:00 AM - 7:00 PM,WHITNEY COMMUNITY CENTER 16 BLACK MOUNTAIN RD JACKSON 03846
JAFFREY,KELLY ROLLINS,28 MAIN ST JAFFREY 03452,532-7861,532-7862,KROLLINS@TOWNOFJAFFREY.COM,WWW.TOWNOFJAFFREY.COM,7:00AM - 7:00PM,PRATT AUDITORIUM 10 CONANT WAY JAFFREY 03452
JEFFERSON,JENNIFER M KENISON,PO BOX 81 JEFFERSON 03583,586-7059,586-7102,TOWNCLERK@JEFFERSONNH.ORG,WWW.JEFFERSONNH.ORG,NOON - 8:00 PM,JEFFERSON COMMUNITY CENTER 178 MEADOWS RD JEFFERSON 03583
KEENE WARD 01,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,MICHAEL E.J. BLASTOS COMMUNITY ROOM 400 MARLBORO ST KEENE 03431
KEENE WARD 02,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,KEENE PARKS AND RECREATION CENTER 312 WASHINGTON ST KEENE 03431
KEENE WARD 03,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,KEENE MIDDLE SCHOOL 167 MAPLE AVE KEENE 03431
KEENE WARD 04,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,SYMONDS SCHOOL 79 PARK AVE KEENE 03431
KEENE WARD 05,TERRI MARTIN HOOD,3 WASHINGTON STREET KEENE 03431,352-0133,283-5653,KEENEVOTES@KEENENH.GOV,WWW.KEENENH.GOV,8:00 AM - 7:00 PM,MONADNOCK COVENANT CHURCH 90 BASE HILL RD KEENE 03431
KENSINGTON,SARAH WIGGIN,95 AMESBURY RD KENSINGTON 03833,772-5423,772-6841,TOWNCLERK@KENSINGTONNH.GOV,WWW.KENSINGTONNH.GOV,8:00 AM - 7:30 PM,KENSINGTON ELEMENTARY SCHOOL 122 AMESBURY RD KENSINGTON 03833
KILKENNY,JENNIFER MAE KENISON,178 MEADOWS ROAD KILKENNY 03583,586-7059,586-7102,TOWNCLERK@JEFFERSONNH.ORG,Not Applicable,12:00 PM - 8:00 PM,JEFFERSON COMMUNITY CENTER 178 MEADOWS RD JEFFERSON 03583
KINGSTON,TAMMY LOUISE BAKIE,163 main street KINGSTON 03848,642-3112,Not Applicable,TOWNCLERK@KINGSTONNH.ORG,WWW.KINGSTONNH.ORG,08:00AM - 08:00PM,SANBORN REGIONAL HIGH SCHOOL GYM 17 DANVILLE RD KINGSTON 03848
LACONIA WARD 01,KATIE GARGANO,PO BOX 489 LACONIA 03247,527-1265,524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,08:00 AM - 06:00 PM,CHURCH OF JESUS CHRIST LATTER DAY SAINTS 1244 OLD NORTH MAIN ST LACONIA 03246
LACONIA WARD 02,KATIE GARGANO,PO BOX 489 LACONIA 03247,527-1265,524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,08:00 AM - 6:00 PM,ST ANDRE BESSETTE PARISH HALL 31 GILFORD AVE LACONIA 03246
LACONIA WARD 03,KATIE GARGANO,PO BOX 489 LACONIA 03247,527-1265,524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,8:00AM - 6:00PM,LACONIA MIDDLE SCHOOL - MULTI-PURPOSE ROOM 150 MCGRATH ST LACONIA 03246
LACONIA WARD 04,KATIE GARGANO,PO BOX 489 LACONIA 03247,527-1265,524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,08:00 AM - 06:00 PM,NEW COVENANT CHURCH @ MEMORIAL PARK CLUBHOUSE 31 LINDSAY CT LACONIA 03246
LACONIA WARD 05,KATIE GARGANO,PO BOX 489 LACONIA 03247,527-1265,524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,08:00 AM - 06:00 PM,WOODLAND HEIGHTS ELEMENTARY SCHOOL 225 WINTER ST LACONIA 03246
LACONIA WARD 06,KATIE GARGANO,PO BOX 489 LACONIA 03247,527-1265,524-1766,CITYCLERK@LACONIANH.GOV,WWW.LACONIANH.GOV,08:00 AM - 06:00 PM,LEAVITT PARK CLUBHOUSE 334 ELM ST LACONIA 03246
LANCASTER,CHARITY M BAKER,25 MAIN STREET LANCASTER 03584,788-3391,Not Applicable,TOWNCLERK@LANCASTERNH.ORG,HTTPS://LANCASTERNH.ORG,8:00 AM - 7:00 PM,LANCASTER TOWN HALL AUDITORIUM 25 MAIN ST LANCASTER 03584
LANDAFF,CATHERINE A FERONY,12 CENTER HILL ROAD LANDAFF 03585,838-6220,Not Applicable,TOWNCLERK@LANDAFFNH.ORG,WWW.LANDAFFNH.ORG,11:00 AM - 7:00 PM,LANDAFF TOWN HALL 12 CENTER HILL RD LANDAFF 03585
LANGDON,KATHRYN R COMEAU,122 NH ROUTE 12A LANGDON 03602,835-2389,835-6055,LANGDONTOWNCLERK@GMAIL.COM,LANGDONNH.ORG/,10:00 AM - 7:00 PM,LANGDON MUNICIPAL BUILDING 122 NH ROUTE 12A LANGDON 03602
LEBANON WARD 01,JASEYA GIRONA EWING,51 NORTH PARK STREET LEBANON 03766,448-3054,Not Applicable,JASEYA.EWING@LEBANONNH.GOV,LEBANONNH.GOV,7:00 AM - 7:00 PM,SAU ADMINISTRATIVE BUILDING 20 SEMINARY HILL RD WEST LEBANON 03784
LEBANON WARD 02,JASEYA GIRONA EWING,51 NORTH PARK STREET LEBANON 03766,448-3054,Not Applicable,JASEYA.EWING@LEBANONNH.GOV,LEBANONNH.GOV,7:00 AM - 7:00 PM,UNITED METHODIST CHURCH OF LEBANON 18 SCHOOL ST LEBANON 03766
LEBANON WARD 03,JASEYA GIRONA EWING,51 NORTH PARK STREET LEBANON 03766,448-3054,Not Applicable,JASEYA.EWING@LEBANONNH.GOV,LEBANONNH.GOV,7:00 AM - 7:00 PM,CITY HALL COUNCIL CHAMBERS 51 NORTH PARK ST LEBANON 03766
LEE,SHANNON L JAMES-BROWN,249 CALEF HIGHWAY LEE 03861,659-2964,659-7202,SJAMESBROWN@LEENH.ORG,WWW.LEENH.ORG,7:00 AM - 7:00 PM,LEE SAFETY COMPLEX 20 GEORGE BENNETT RD LEE 03861
LEMPSTER,KAYLA M BREHIO,856 NH ROUTE 10 LEMPSTER 03605,863-3213,863-8105,TOWNCLERK@LEMPSTERNH.ORG,WWW.LEMPSTERNH.ORG,8:00AM - 7:00PM,MEETING HOUSE 112 LEMPSTER ST LEMPSTER 03605
LINCOLN,KRISTYN DAIGLE-BROPHY,PO BOX 39 LINCOLN 03251,745-8971,745-6743,TOWNCLERK@LINCOLNNH.GOV,WWW.LINCOLNNH.GOV,10:00AM - 6:00PM,LIN-WOOD PUBLIC SCHOOL 72 LINWOOD AVE LINCOLN 03251
LINCOLN,KRISTYN DAIGLE-BROPHY,PO BOX 39 LINCOLN 03251,745-8971,745-6743,TOWNCLERK@LINCOLNNH.GOV,WWW.LINCOLNNH.GOV,10:00 AM - 6:00 PM,LINCOLN TOWN HALL 148 MAIN ST LINCOLN 03251
LISBON,AUDREY CHAMPAGNE,153 South Main Street LISBON 03585,838-2862,912-2101,TOWNCLERK@LISBONNH.ORG,LISBONNH.ORG,12:00 PM - 7:00 PM,LISBON REGIONAL SCHOOL 25 HIGHLAND AVE LISBON 03585
LITCHFIELD,THERESA L BRIAND,2 LIBERTY WAY LITCHFIELD 03052,424-4045,424-3014,TBRIAND@LITCHFIELDNH.GOV,WWW.LITCHFIELDNH.GOV,7:00 AM - 7:00 PM,CAMPBELL HIGH SCHOOL 1 HIGHLANDER CT LITCHFIELD 03052
LITTLETON,ANGELA BROUSSEAU,"125 MAIN ST, SUITE 202 LITTLETON 03561",575-9163,444-0735,ABROUSSEAU@LITTLETONNH.GOV,WWW.TOWNOFLITTLETON.ORG,8:00 AM - 7:00 PM,LITTLETON HIGHWAY GARAGE 240 W MAIN ST LITTLETON 03561
LIVERMORE,KRISTYN DAIGLE-BROPHY,148 MAIN ST LIVERMORE 03251,745-8971,745-6743,TOWNCLERK@LINCOLNNH.GOV,Not Applicable,Not Applicable,LINCOLN TOWN HALL 148 MAIN STREET LINCOLN - FOR POLLING LOCATION ONLY LIVERMORE 03251
LONDONDERRY,SHARON ANN FARRELL,268 MAMMOTH RD LONDONDERRY 03053,432-1100,421-9617,SFARRELL@LONDONDERRYNH.ORG,WWW.LONDONDERRYNH.ORG,6:00 AM - 8:00 PM,LONDONDERRY HIGH SCHOOL GYM 295 MAMMOTH RD LONDONDERRY 03053
LOUDON,ASHLEY ELIZABETH SIMONDS,55 SOUTH VILLAGE RD LOUDON 03307,798-4542,798-3539,TOWNCLERK@LOUDONNH.ORG,WWW.LOUDONNH.ORG,7:00AM - 7:00PM,ARTHUR COLBY SAFTEY COMPLEX/ FIRE DEPARTMENT 8 COOPER ST LOUDON 03307
LOW & BURBANKS GRANT,CHRISTINA ZORNIO,20 PARK ST LOW & BURBANKS GRANT 03581,466-2744,466-2744,CZORNIO@GORHAMNH.ORG,Not Applicable,Not Applicable,GORHAM TOWN HALL 20 PARK ST GORHAM - FOR POLLING LOCATION ONLY LOW & BURBANKS GRANT 03581
LYMAN,BETHANY L CARIGNAN,65 PARKER HILL ROAD LYMAN 03585,838-6113,838-6818,LYMANTC@MYFAIRPOINT.NET,WWW.LYMANNH.ORG,11:00 AM - 6:00 PM,LYMAN TOWN HALL 65 PARKER HILL RD LYMAN 03585
LYME,EMILY SHEPARD,PO BOX 342 LYME 03768,795-2535,795-2117,TOWNCLERK@LYMENH.GOV,WWW.LYMENH.GOV,7:00 AM - 7:00 PM,LYME COMMUNITY GYMNASIUM 35 UNION ST LYME 03768
LYNDEBOROUGH,PATRICIA H SCHULTZ,9 CITIZENS HALL ROAD LYNDEBOROUGH 03082,654-5955,654-5777,TSCHULTZ@LYNDEBOROUGHNH.US,WWW.LYNDEBOROUGHNH.US,10:00 AM - 7:00 PM,CITIZENS' HALL 9 CITIZENS HALL RD LYNDEBOROUGH 03082
MADBURY,MORGAN R DAIGLE,13 TOWN HALL RD MADBURY 03823,742-5131,742-2505,TCMADBURY@COMCAST.NET,HTTP://WWW.MADBURY.GOV,11:00 AM - 7:00 PM,MADBURY TOWN HALL 13 TOWN HALL RD MADBURY 03823
MADISON,MICHAEL R BROOKS,PO BOX 248 MADISON 03849,367-9931,367-4765,CLERK@MADISON-NH.ORG,WWW.MADISON-NH.ORG,8:00 AM - 7:00 PM,MADISON ELEMENTARY SCHOOL GYM 2069 VILLAGE RD MADISON 03849
MANCHESTER WARD 01,MATTHEW NORMAND,1 CITY HALL PLAZA MANCHESTER 03101,624-6455,624-6481,ELECTIONS@MANCHESTERNH.GOV,WWW.MANCHESTERNH.GOV,6:00 AM - 7:00 PM,WEBSTER SCHOOL 2519 ELM ST MANCHESTER 03104
